gender,SeniorCitizen,tenure,InternetService,Contract,MonthlyCharges,TotalCharges,PaymentMethod,Churn
Male,No,2,DSL,Month-to-month,53.85,108.15,Mailed check,Yes
Female,No,2,Fiber optic,Month-to-month,70.7,151.65,Electronic check,Yes
Female,No,8,Fiber optic,Month-to-month,99.65,820.5,Electronic check,Yes
Female,No,10,DSL,Month-to-month,55.2,528.35,Credit card (automatic),Yes
Male,Yes,1,DSL,Month-to-month,39.65,39.65,Electronic check,Yes
Male,No,1,No,Month-to-month,20.15,20.15,Mailed check,Yes
Male,No,1,DSL,Month-to-month,30.2,30.2,Electronic check,Yes
Male,No,5,Fiber optic,Month-to-month,69.7,316.9,Electronic check,Yes
Female,No,11,Fiber optic,Month-to-month,97.85,1105.4,Bank transfer (automatic),Yes
Female,No,2,Fiber optic,Month-to-month,80.65,144.15,Electronic check,Yes
Female,Yes,8,Fiber optic,Month-to-month,80.65,633.3,Credit card (automatic),Yes
Female,No,9,Fiber optic,Month-to-month,94.4,857.25,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,79.35,79.35,Electronic check,Yes
Female,No,7,Fiber optic,Month-to-month,75.15,496.9,Bank transfer (automatic),Yes
Female,No,12,Fiber optic,Month-to-month,78.95,927.35,Electronic check,Yes
Male,No,5,No,Month-to-month,21.05,113.85,Mailed check,Yes
Female,No,10,Fiber optic,Month-to-month,100.25,1064.65,Electronic check,Yes
Male,No,3,Fiber optic,Month-to-month,74.4,229.55,Electronic check,Yes
Male,No,1,DSL,Month-to-month,35.45,35.45,Electronic check,Yes
Male,No,2,DSL,Month-to-month,44.35,81.25,Electronic check,Yes
Female,Yes,1,Fiber optic,Month-to-month,70.45,70.45,Mailed check,Yes
Female,No,8,DSL,Month-to-month,71.15,563.65,Electronic check,Yes
Male,No,1,DSL,Month-to-month,45.65,45.65,Electronic check,Yes
Male,No,7,Fiber optic,Month-to-month,95.0,655.5,Mailed check,Yes
Female,No,4,Fiber optic,Month-to-month,70.9,273.0,Bank transfer (automatic),Yes
Female,No,2,Fiber optic,Month-to-month,104.4,242.8,Electronic check,Yes
Female,Yes,7,Fiber optic,Month-to-month,76.45,503.6,Bank transfer (automatic),Yes
Female,No,1,DSL,Month-to-month,29.95,29.95,Bank transfer (automatic),Yes
Male,No,8,Fiber optic,Month-to-month,84.5,662.65,Bank transfer (automatic),Yes
Female,No,1,DSL,Month-to-month,24.8,24.8,Electronic check,Yes
Male,No,6,Fiber optic,Month-to-month,91.0,531.0,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,79.9,79.9,Electronic check,Yes
Male,No,2,DSL,Month-to-month,46.0,84.5,Credit card (automatic),Yes
Female,No,4,Fiber optic,Month-to-month,70.15,268.35,Electronic check,Yes
Male,No,4,DSL,Month-to-month,50.05,179.35,Mailed check,Yes
Female,No,1,DSL,Month-to-month,55.2,55.2,Mailed check,Yes
Male,No,1,Fiber optic,Month-to-month,84.6,84.6,Mailed check,Yes
Male,No,2,DSL,Month-to-month,54.4,114.1,Mailed check,Yes
Female,Yes,11,Fiber optic,Month-to-month,95.0,1120.3,Electronic check,Yes
Male,No,1,DSL,Month-to-month,48.55,48.55,Mailed check,Yes
Female,No,2,Fiber optic,Month-to-month,70.4,147.15,Electronic check,Yes
Male,Yes,1,DSL,Month-to-month,40.2,40.2,Electronic check,Yes
